,text,depresi
45,Dengan sebatang nikotin dan kopi. Buang rasa jenuh dan bosan. Karena semua itu tak penting. Buatlah hidup menjadi SELOOW. â bei Rokok Praoe Lajar,0
46,"Motivasi Pagi: Jika anda bosan dengan hidup ini, MENINGGAL LAH !!! HIYA HIYA HIYA",0
47,Anda bosan hidup pa? https://twitter.com/rexjonginn/status/1056211761320185857 â¦,0
48,Jangan bosan... Aku saja tak pernah bosan meski hidup bersamamu puluhan tahun,0
49,Selamat pagi sang matahari yang tidak pernah bosan menyinari hidup aku dan umat yang lain pic.twitter.com/AlD16cwApW,0
50,"Hidup tidak berarti apa-apa tanpa persahabatan"" - Quintus Ennius""",0
51,"Jika hidup Anda berjalan dengan mudah, berarti Anda tidak menjalani hidup yang berarti"" - Lerry Winget""",0
52,kita mungkin mengira diri kita tidak berarti bagi siapapun. kita mungkin mengira diri kita tidak layak mendapatkan semua kebaikan yang datang ke hidup kita selama ini. tapi kita mungkin pernah salah dalam menilai orang lain. jadi mungkin kita juga salah menilai diri sendiri.,0
53,"Keberhasilan terbesar dalam hidup bukan berarti tidak pernah jatuh, tetapi bangkit setiap kali kita jatuh.",0
54,"Terimakasih karna telah belajar kuat meskipun hatimu sudah tersayat, menerima kembali yg jelas jelas udah membuat hidup kamu tidak berarti, selalau terlihat kuat meskipun keadaan semakin sekarat, berusaha jujur meskipun hati udah jelas bakal hancur, kamu kuat! (aku)",0
55,"Kalaupun hidup adalah tumpukan kesalahan yang kita lakukan, terima saja. Berarti selama hidup kita tidak pernah berhenti belajar.",0
56,"Tidak perlu menjadi siapa' untuk menyenangkan orang lain. Jadilah dirimu sendiri, kemudian lakukanlah yang terbaik yang bisa kamu lakukan untuk menjadi manfaat & membahagiakan orang lain. Semangatt.. karena Hidup hanya sekali dan jadikanlah berarti Mari contoh bapak ini pic.twitter.com/eKLPDblc8P",0
57,senyum di wajah saya tidak berarti hidup saya sempurna. Tapi saya menghargai apa yg saya miliki dan apa yg Tuhan telah berikan pada saya.,0
58,Ingatlah... Waktu itu seperti sungai Kita tidak bisa menyentuh air yang sama untuk kedua kalinya Karena air yang telah mengalir akan terus berlalu dan tidak akan pernah kembali Untuk itu... Buatlah hidup kita lebih berarti Selamat sore yang mendung,0
59,"Bersyukurlah, tentang apa saja yang anda dapatkan, entah itu suka ataupun tidak. Maka dengan begitu berarti anda sudah bisa menghargai hidup anda sendiri.",0
60,"Filipi 1:21-22 (TB) Karena bagiku hidup adalah Kristus dan mati adalah keuntungan. Tetapi jika aku harus hidup di dunia ini, itu berarti bagiku bekerja memberi buah. Jadi mana yang harus kupilih, aku tidak tahu.",0
61,"Belum punya pasangan hidup, bukan berarti tidak bisa menikmati hidup ;)",0
62,"Jika saya merasa tdk ada hal menarik dari hidup saya untuk diceritakan, apakah itu berarti saya tidak mengenal siapa diri saya?? Mari merenung....",0
63,Hormat pada Makhluk Hidup dan seluruh benda Mati. Karena tanpa kalian kami tidak berarti di palnet bumi. # ATTITUDE,0
64,"âBanyak yang menganggap hidup dengan HIV seperti saya berarti lemah dan tidak memiliki harapan. Tetapi, saya ingin mematahkan semua pandangan itu. Saya hidup dengan HIV, dan saya berani menghadapi segala tantangan untuk bertahan dan... https://www.youtube.com/watch?v=Wew9t28foSQ â¦",0
65,"Yang berat itu hidup untuk menghasilkan isi dan esensi. Bukan cari sensasi. Berhasil tak selalu indah bahkan memang keberhasilan tidak pernah indah. Takut, berarti ada bisikan manusiawi ada yang salah dalam diri, perduli ? Perhatikan diri, berkaca pada hati, pikiran rusak karena",0
66,"Jangan sampai kita hanya berfokus sama apa yang kurang dan apa yang salah di hidup kita, sampai lupa mensyukuri apa yang sudah baik. Jadi tidak bahagia karena sibuk komplain. Jadi saat saya mengatakan hal hal baik dalam hidup saya, bukan berarti isinya cuma itu doang.",0
67,"Hidup yg Anda terima adalah kesempatan berarti, utk membuktikan bahwa Tuhan tidak menciptakan Anda dg sia2",0
68,"Hidup yg Anda terima adalah kesempatan berarti, utk membuktikan bahwa Tuhan tidak menciptakan Anda dg sia2",0
69,Petuah senja hari Mengabdi pada negeri sampai ajal menjemput nanti Karena hidup cuman sekali buat lah jadi berarti Tidak penting jadi apapun karena jadi apapun penting asal bermanfaat untk negeri ini,0
70,Tidak takut mati Bukan berarti cari mati Namun senantiasa ingat mati Karena hidup harga mati Jadi selalu hati hati Jaga hati agar hati tak sampai mati,0
71,Hidup anda bimbang dan tidak bebas?. Berarti surat surat anda belum lengkap.,0
72,"Bersyukurlah, tentang apa saja yang anda dapatkan, entah itu suka ataupun tidak. Maka dengan begitu berarti anda sudah bisa menghargai hidup anda sendiri.",0
73,"Tidak ada yang mustahil di dalam hidup ini.Selama ada kemauan, kamu akan menemukan jalan.Kalau tidak ada jalan berarti ya jalan buntu.",0
74,"Dunia ini indah, dengan salah dan permaafannya. Menghindari parmaafan, tidak membuat hidup ini lebih berarti. Bagaimana baiknya, maklumi setiap kekliruan. # seninsemangat",0
75,Don't consider your life meaningless! Never forget a friend who clearly loves you! Jangan anggap hidup Anda tidak berarti! Jangan pernah melupakan teman yang jelas mencintaiâ¦ https://www.instagram.com/p/BpwQOoZgBIz/?utm_source=ig_twitter_share&igshid=ikfor17904bb â¦,0
76,"Manusia tidak akan bisa hidup sendiri tanpa orang lain, tapi tidak berarti harus selalu mengandalkan orang lain",0
77,Merasa hidup tidak pernah bahagia? Berarti anda tidak pernah bersyukur.,0
78,"Tidak perlu menjadi siapa-siapa untuk menyenangkan orang lain. Jadilah saja dirimu sendiri, kemudian lakukanlah yang terbaik yang bisa kamu lakukan untuk menjadi manfaat bagi orang lain. Semangat, jadilah berarti. Hidup hanya sekali.",0
79,"Diskusi sama org yg lebih tua, terus ngasih wejangan. Aku tidak merasa lebih pintar/tau banyak tentang hidup. Bukan berarti pendidikanku yg lebih tinggi, lantas aku tau banyak. Enggak. Wejangan yg diterima tetap disaring & gak ditelan mentah-mentah.",0
80,Tidak mudah meyakinkan tuk menjadikan seseorang berarti di hidup kita. Namun saat kita berhasil menemukannya. Maka kita akan dengan setulus hati menjaganya...,0
81,"Bersyukurlah, tentang apa saja yang anda dapatkan, entah itu suka ataupun tidak. Maka dengan begitu berarti anda sudah bisa menghargai hidup anda sendiri.",0
82,"Walaupun Hidup tidak mudah, bukan berarti harus menyerah. Pertolongan Allah datang tidak pernah kita duga Semangat pagi",0
83,"teruntuk kalian yang sudah nyerah ! ingat kalian sedang berproses, hidup ini proses! kalau kalian berbicara kesabaran, harga diri, berarti kalian masih berego tinggi. bukan masalah manusiawi atau tidak. tapi masalah jati diri. yasudah",0
84,Hanya karena beberapa hal tidak berjalan sesuai rencana km bukan berarti hidup kamu menjadi tidak baik. Husnuzhan ke Allah .,0
85,"semangat! orang tua bercerai, bukan berarti kita harus terus terpuruk. jadikan hal ini sebagai motivasi dalam hidup, agar kedepannya lebih baik. ambil pelajaran dari hal ini, agar kelak ketika berkeluarga tidak mengulang kesalahan yang terjadi saat ini. semangat sender!",0
86,"Hidup harus punya tujuan, kalau tidak punya tujuan berarti tidak Hidup.",0
87,"Tidak ada hal yang lebih buruk daripada kehilangan seseorang yang pernah berarti di hidup kita, apalagi jika orang itu pernah menjadi senyum kita",0
88,Minta bantuan kepada asing saat musibah tidak berarti kita lemah dan tak mampu. Beri kesempatan pihak lain untuk turut prihatin dan berbuat kebaikan kepada kita. Kita gak hidup sendiri di dunia ini.,0
89,"Beberapa orang menganggap hidup tidak berarti, sebagiannya lagi berharap hidup kembali agar bisa memperbaiki diri.",0
90,Harta dan kenyamanan hidup tidak berarti apa2 jika tidak disadari semata2 pemberian dan titipan dari Allah yg semestinya digunakan untuk menunjang ibadah... # Alhamdulillah,0
91,dan yg ke 2 adalah orang yg ingin hidup tanpa pasangan karna menurut mereka pasangan hidup tidak berarti dan membuat beban pikiran saja.,0
92,"Hanya karena belum meraih mimpi, bukan berarti hidup Anda tidak berarti. HIdup tidak berarti jika Anda tidak punya mimpi untuk diraih.",0
93,Hidup tidak berarti kalau bukan kita sendiri yg mencari arti. # sulukjuli,0
94,"Hidup harus punya tujuan, kalau tidak punya tujuan berarti tidak Hidup.",0
95,"Syukuri saja apa yang terjadi dalam hidup kita, karena sesungguhnya disetiap lembar cerita ada pelajaran bermakna. Kita boleh saling menyuka, tapi suka tidak selalu berarti bersama.",0
96,Hidup sehat bukan berarti tidak pernah sakit. Tapi berusaha sebaik mungkin untuk tetap menjadi sehat.,0
97,selain yang satu persen berarti tidak hidup dong. hehehehe...yang rawan tidak ada.,0
98,Tidak ada istilah kalah dalam hidup karena saati kita gagal itu berarti akan ada keberhasilan yang sedang menunggu,0
99,"Bersyukurlah, tentang apa saja yang anda dapatkan, entah itu suka ataupun tidak. Maka dengan begitu berarti anda sudah bisa menghargai hidup anda sendiri.",0
100,Harus bgt ya anjing mati lampu batre sekarat padahal mau pergi ke jogja astaga ingin ku berkata kasar,0
101,perjuangan sejati bukan ingin dipuji. saudaraku yang masih peduli negeri...teruslah berjuang untuk negeri dan diri sendiri tentunya sampai mati. 'Jagalah dirimu dan keluargamu dari api neraka' itu pesan islam. berjuang melalui apa saja yang legal&halal bisa dilakukan.,0
102,"Aku tidak ingin melihat orang lain yang tidak penting, mati dihadapanku.""""",0
103,Ketika orang islam mati. Pasti ingin diselimuti kalimah tahuid #BenderakuHanyaSatu,0
104,malam malam ingin menangis pasca melihat foto badak bercula satu yang mati karena ditembak dan culanya diambil,0
105,"Kak Shinichi akan datang walaupun harus mati.. Oleh karena itu.. Dia ingin Kak Ran untuk menunggu..""-Conan Edogawa""",0
106,"Rindu dan sakit setiap hari. Aku tdk bisa lewatinya"" tapi aku melewatinya. ""Aku ingin mati"" tapi aku masih hidup smpai skrg. ""Knapa susah untuk menyerah?"" Percaya, mereka berterimakasih karna kamu bertahan""",0
107,"Aku tidak ingin melihat orang yang ku sayangi mati didepanku !! Karena aku pernah kehilangan semuannya .. "" To : Naruto dan Sakura""",0
108,Ingin makan indomie sdh dari lama tapi takut mati,0
109,"Jangan mati dulu mblo, orang lain masih ingin melihat deritamu, haha #hoho^_^",0
110,Pakailah #uang #pinjaman #Online Jika anda ingin mati pelan-pelan https://youtu.be/zlESuRcMYK0,0
111,"Ingin mati? Saat org membutuhkan kamu, plis kei... klo ada masalah bisa cerita ke aku, jgn buat seolah"" mati bisa jdi jalan keluar buat masalah kamu. Kamu bilang kya gini sama aja kamu ga peduli sama sekitar kamu, sama org"" yg sayang sama kamu. )) https://twitter.com/jaehyunieo/status/1060117283069059072 â¦""",0
112,"Kau hidup tapi mati kau mati tapi ingin hidup mengapa tidak hidup dan terus hidup walau tak ada yang menghidupi, dengan kemandirian?..... Ayo sekolah !",0
113,"Alhamdulillah keluarga masih utuh walaupun usaha mati total dan cobaan gak henti2nya datang, dalam rumah tangga ada saja kesukaran. Bahkan sempat beberapa kali orang tua saya ingin pisah tapi alhamdulillah tuhan masih sayang sama keluarga saya.",0
114,Semua orang pasti pernah merasakan jatuh dan ingin mati. Astagfirullah.,0
115,Bendera tauhid bertuliskan kalimat suci yang bahkan semua orang sangat ingin mengucapkannya setelah mati.. Dan kalimat suci cukup tersimpan didalam hati,0
116,"Banyak orang yang ingin hidup lama untuk mencari kebahagian, tetapi kebahagian yang sesungguhnya adalah ketika anda mati.",0
117,"Selamat pagi semua, semoga harimu tidak membuatmu ingin mati saja -ur pluto",0
118,"selamat pagi, semoga harimu tak membuatmu ingin mati",0
119,Aku ingin melihat dan memahami dunia luar. aku tak mau mati didalam dinding tanpa mengetahui dunia luar (Eren Jaeger - Shingeki no Kyojin),0
120,Menyerah dan ingin mati berarti hidupmu sudah busuk.!! #bot,0
121,"aku berusaha berdiri dan ingin sekali lagi mencoba memeluk ibuku. Tapi.. coba tebak apa yang ku lihat? Tubuhku sendiri yang terbujur kaku di tempat tidur.. Apa aku sudah mati?"" [ @minjoomblo]""",0
122,saya tidak ingin mati,0
123,"Tapi aku tidak ingin mati, walaupun berat",0
124,hingga mati ku ingin bersamamu,0
125,"Jgn katakan ingin memiliki ku dgn abadi , sebab aku bisa mati. Katakanlah akan mencintaiku dgn abadi karna cinta takan bisa mati :)",0
126,"Di saat orang yang udah meninggal masih ingin hidup kenapa kamu ingin mati Plis jangan, tuhan masih kasih kesempatan kamu untuk hidup karena Tuhan ingin kamu mencapai apa yang menjadi target kamu di dunia ini",0
127,A; Ingin mati saja B; Jangan nanti ada yang kehilangan A; Siapa yang kehilangan? B; Aku misalnya *Dusta detected. Wkwk,0
128,"Ailsa sangat depresi. Ingin rasanya dia mati saja, namun ia sadar bahwa ia tidak boleh egois, karena ada kehidupan lain di dalam perutnya. Ia hanya bisa menangis sepanjang malam. Matanya membengkak sebesar buah dukuh. ....",0
129,Hei kamu yang sedang susah hati Terasa jengah menjalani hari Senin selasa kembali lagi Sepaket dengan orang yang tak kau cintai Ragamu lelah ingin mati . Janganâ¦ https://www.instagram.com/p/BpzTh58FfViDhAMDYyCnSPzxIqAm8meuofEWM80/?utm_source=ig_twitter_share&igshid=4s0zqgr94dgn â¦,0
130,Mba ingin saya mati?,0
131,"Mungkin pada akhirnya semacam itu yang aku lihat sekarang: orang-orang putus asa, ingin coba bebas dari tindas-menindas tapi akhirnya ikut mati, terbawa arus, melayang-layang di udara. Aku juga bakal gitu. Tapi sisaku itu ya benar-benar sampah.",0
132,"Dulu, Kala kau membenci dunia, rasanya ingin mati saja. Siapa yang mengantarkan padamu cahaya mentari senja di trotoar jl. Cut Nyak Dien? Terpikirkan, kah?",0
133,Kamu ingin mati? Wahai anak mudah mati tidak lah menjadi berhentinya suatu masalah apalagi kamu bunuh diri tahu kan dosanya apa? Saya tahu kamu banyak masalah tapi jangan berfikirin seperti itu kamu tahu mati nanti ada kehidupan lagi yang di mana bukan duniawi lagi,0
134,MATI tak kenal usia.Jika ingin bertaubat mulakan dari sekarang.Takut masa semakin suntuk.Sesungguhnya MALAIKAT MAUT tak BUAT TEMU JANJI :),0
135,Jangan masuki peperangan yang bukan milikmu kecuali engkau ingin mati sia-sia.,0
136,"Andaikan saja waktu bisa berhenti, akan ku utarakan semua rasa yang tak ingin mati.",0
137,"Ketika seseorang benar-benar ingin mati, dia sudah tidak akan memikirkan lagi hal-hal yang nantinya akan dia tinggalkan. Mereka hanya akan penuh dengan dirinya sendiri."" Ujung-ujung bibirnya terangkat ke atas ketika telapak tangannya menyentuh permukaan pipi orang itu. Matanya -""",0
138,"Banyak orang yang ingin hidup lama untuk mencari kebahagian, tetapi kebahagian yang sesungguhnya adalah ketika anda mati.",0
139,"Semua orang ingin masuk surga, tapi banyak orang juga yang tidak ingin mati",0
140,"aku suka heran sama sepasang muda mudi yang berboncengan tapi sama-sama ga pakai helm. apa mrk telah berjanji untuk mencintai sehidup semati? sampai ingin mati bersama begitu, iya, salah satu alasannya adalah mrk tdk memakai helmânanti kalo kecelakaan kan resiko matinya tinggi:(",0
141,"Ingin mandi, ingin keramas. Tp aer kosan masih mati.",0
142,"Sedang tidak ingin merasakan apa-apa. Tapi gak mau mati juga atuh, belum cukup bekel :(",0
143,"Hatiku tidak mati perasaanku masih ada otakku masih berfungsi hanya saja aku tidak ingin dan tidak bisa menunjukkannya, mengekspresikannya. Aku sama sepertimu. Punya rasa penyesalan yg mendalam, hati yang seringkali rapuh, dan otak yg selalu memikirkan banyak hal.",0
144,Mengapa orang-orang merokok? â Karena mereka ingin cepat mati https://lap78.ask.fm/igoto/45DKECPW7B667HQMHN2IG6NMZWAC7JAJV7373DFZCDV6V45V2Q24OJAMGBFM2QRVKK27KFAGIJSTQXQVYYU5Y25CPT22BFDJUUBCVESVANYDGGP7DWJQKLHQ262PLWTESSFJKTRE2DFXXB5IJCHA6RLN6GFW3ZMQ73NVXYTURSV3MYETDVUFHRFL3ANODW6UTQRL2MS7UVINXADNGVQQM=== â¦,0
145,"Tidakkkkk, aku belum ingin mati"" pic.twitter.com/L8gK9A73jD""",0
146,Walopun gue jarang gereja apalagi berdoa tapi dalam hati gue yang paling dalam. Aku ingin tetap memeluk agamaku ini sampai aku mati.,0
147,3 poin harga mati. Lau ingin juara!,0
148,"Nikmatilah hidupmu, karena kamu pasti mati. Cintai siapapun yang ingin kamu cintai sebelum ia pergi",0
149,"Tips bagi para perokok. Jangan takut mati bro, karena selama ada korek ya tinggal nyalain aja. aku ingin deh menyalakan hatimu.. #SaveMukaBoyolali",0
150,Selamat pagi wahai perempuan2 kesepian. . .,0
151,"Tuan kesepian, tak punya teman. Hatinya rapuh tapi berlagak tangguh - Tuan Nona Kesepian",0
152,"Positif aja dia lagi kesepian, butuh kawan bermain :)",0
153,Perasaan kesepian memicu respon yang sama di otak sebagai rasa sakit fisik. (BBCnews),0
154,"Terkadang kita diberikan rasa kesepian yang mendalam, agar kita lebih menghargai indahnya kebersamaan.",0
155,Kesepian yang sesungguhnya adalah ketika kamu tidak lagi mampu mendengar suara hatimu sendiri yang terisak keras.,0
156,Kesepian sesungguhnya adlh ketika anda tdk lagi mampu mendengar suara hatimu sendiri yang terisak keras,0
157,Bulanpun akan kesepian jika bintang tak ada.,0
158,"sendiri bukan berarti kesepian. Dan kesepian bukan berarti kamu sendiri.""""",0
159,Hari ini aku Baru sadar kalo cuma dibutuhin waktu kesepian aja ^^,0
160,"Jika anda berteman dengan diri anda sendiri, anda takkan pernah kesepian. Sulit sekali bagi orang lain berbicara di saat anda hanya mendengar diri anda sendiri.",0
161,Oke intinya jangan merasa kesepian karena kita msh punya Allah Swt.,0
162,"Jangan pernah ngerasa kesepian di sini, karena apa? Karena sekarang, paspro opmem! Segera joinkan diri kalian @ PASUKANPRODUCE",0
163,karna bila seseorang nyaman dalam kesepian mereka mereka tidak menyadari apa yang mereka benar-benar membutuhkan,0
164,Emang kamu disitu kesepian?,0
165,gak kesepian gitu gua gan,0
166,Hujan-hujan gini pengen bikin puisi: Barangkali kita memang tak saling mencintai. Barangkali kita hanya takut pada kesepian.,0
167,Gausah berlebihan dia datang tuh cuma pas lagi kesepian doang.,0
168,"Ketika semua orang perlahan pergi. Tak perlu sesedih itu. Tak perlu merasa kesepian dan menganggap tidak memiliki siapapun lagi. Ingat satu hal ini, Allah bersamamu # quotesoftheday",0
169,Semakin maju era digital dan semakin mudah orang berkomunikasi di seluruh dunia. Tapi semakin banyak orang yang kesepian.,0
170,Sendiri bukan berarti kesepian Enak juga jadi independen,0
171,"Jangan sedih jika sedang kesepian, Tuhan selalu ada dihatimu",0
172,Manusia tak kan pernah bisa menang dari rasa kesepian,0
173,Sheila on 7 - Pria Kesepian,0
174,Teman adalah orang yang menyelamatkanmu dari neraka yang bernama kesepian,0
175,Ya bagus ku tak mau kau kesepian :(,0
176,"Tuhan memang luar biasa kuasanya, menciptakan lelaki dan wanita berpasangan agar tidak ada kesepian di dalam hidup dari masing - masing kehidupan.",0
177,"Suka bingung sama orang yang kesepian. Alhamdulilah selama ini imfeelin good. Dan kalopun menjadi kesepian krn gada tempat berceritapun, kamu bisa bicara sama tuhanmu. Just believe ur heart and go ahead:):):",0
178,"Rasa kesepian melandanya dan dia kembali lagi menjadi anak laki laki enam belas tahun, sendirian ditempat asing",0
179,Sorry bro gue ga kesepian,0
180,Hati-hati! Inilah 4 Efek Negatif Kesepian Buat Kesehatan Gan! https://www.kaskus.co.id/thread/5be1055460e24be6208b4581/hati-hati-inilah-4-efek-negatif-kesepian-buat-kesehatan-gan/?utm_source=twitter&utm_medium=social&utm_content=3095660&utm_campaign=organic-share â¦ # ForumKaskus via @ KASKUS,0
181,"jika seseorang itu kesepian, dia berpura-pura baik-baik saja",0
182,Org yg kelamaan kesepian itu bahaya...cenderung temprament dan sgt egois....,0
183,Ketika kamu lelah mintalah kekuatan pada Tuhan. Ketika kamu tiada kata bicaralah pada Tuhan. Ketika kamu kesepian ada Tuhan.,0
184,"Terkadang kita diberikan rasa kesepian yg mendalam, agar kita lebih menghargai indahnya kebersamaan.. ^_^",0
185,Sebuah studi menyebutkan bahwa kesepian dua kali lebih membunuh daripada obesitas.,0
186,Penelitian Ungkap Kesepian Dapat Merusak Struktur Dasar Otak dan Mempengaruhi Fungsinya https://news.labsatu.com/penelitian-ungkap-kesepian-dapat-merusak-struktur-dasar-otak-dan-mempengaruhi-fungsinya/ â¦,0
187,"Kesepian hanyalah sebuah sugesti,jika kamu mnghargai orang yg benar mncintaimu & mlupakan dia yg mengecewakanmu .maka kesepian pun hilang""",0
